City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,78.33,76,100,12.1,PF,1682064780
1,yubari,43.0378,141.9578,48.49,52,60,17.72,JP,1682064877
2,asau,46.4333,26.4,51.28,80,100,6.42,RO,1682064836
3,ushuaia,-54.8,-68.3,38.86,81,75,27.63,AR,1682064686
4,bauta,22.9828,-82.5464,67.98,88,0,2.3,CU,1682064878
5,hithadhoo,-0.6,73.0833,84.69,73,89,7.49,MV,1682064825
6,tuatapere,-46.1333,167.6833,51.01,91,3,2.17,NZ,1682064785
7,mataura,-46.1927,168.8643,52.48,98,0,0.92,NZ,1682064787
8,bredasdorp,-34.5322,20.0403,58.21,53,91,4.27,ZA,1682064667
9,hasaki,35.7333,140.8333,77.29,85,100,10.31,JP,1682064805
10,prainha,-1.8,-53.48,72.91,99,48,3.02,BR,1682064879
11,lima,-12.0432,-77.0282,70.05,83,40,18.41,PE,1682064638
12,shingu,33.7333,135.9833,69.87,73,100,2.3,JP,1682064646
13,santa cruz del sur,20.7147,-77.9956,72.59,88,2,8.72,CU,1682064880
14,vaini,-21.2,-175.2,75.36,88,20,10.36,TO,1682064782
15,te anau,-45.4167,167.7167,51.4,89,0,1.36,NZ,1682064881
16,busselton,-33.65,115.3333,71.28,43,66,4.52,AU,1682064520
17,punta arenas,-53.15,-70.9167,37.51,87,40,14.97,CL,1682064740
18,homer,59.6425,-151.5483,31.89,80,0,3.44,US,1682064881
19,florida,28.7505,-82.5001,62.91,88,0,0.0,US,1682064881
20,lompoc,34.6391,-120.4579,64.94,58,0,24.0,US,1682064882
21,albany,42.6001,-73.9662,45.57,59,100,2.33,US,1682064791
22,saint-pierre,-21.3393,55.4781,83.88,70,75,9.22,RE,1682064883
23,kruisfontein,-34.0033,24.7314,57.81,58,54,17.65,ZA,1682064883
24,zhanjiang,21.2815,110.3427,87.04,70,57,11.07,CN,1682064883
25,riyadh,24.6877,46.7219,87.94,17,0,0.76,SA,1682064779
26,ahipara,-35.1667,173.1667,67.55,94,98,15.5,NZ,1682064817
27,san policarpo,12.1791,125.5072,84.13,69,100,8.86,PH,1682064884
28,hobart,-42.8794,147.3294,66.06,52,75,13.8,AU,1682064577
29,pevek,69.7008,170.3133,22.48,82,94,3.53,RU,1682064834
30,jamestown,42.097,-79.2353,64.04,63,0,5.75,US,1682064775
31,khatanga,71.9667,102.5,16.84,81,14,4.74,RU,1682064825
32,paamiut,61.994,-49.6678,32.23,84,89,5.95,GL,1682064885
33,bissau,11.8636,-15.5977,75.31,78,100,0.0,GW,1682064885
34,makakilo city,21.3469,-158.0858,71.92,91,100,6.91,US,1682064886
35,tecoanapa,16.5167,-98.75,79.09,74,89,6.6,MX,1682064886
36,yellowknife,62.456,-114.3525,32.56,95,100,8.01,CA,1682064677
37,norman wells,65.282,-126.8329,8.64,85,20,0.0,CA,1682064886
38,caravelas,-17.7125,-39.2481,74.43,94,100,11.99,BR,1682064839
39,ponta do sol,32.6667,-17.1,68.0,90,73,12.46,PT,1682064806
40,southbridge,42.0751,-72.0334,48.31,83,39,1.01,US,1682064790
41,tazovskiy,67.4667,78.7,29.34,90,98,12.84,RU,1682064721
42,georgetown,5.4112,100.3354,89.53,66,20,8.05,MY,1682064615
43,cape town,-33.9258,18.4232,62.11,53,75,4.0,ZA,1682064717
44,pemangkat,1.1667,108.9667,85.37,64,99,10.02,ID,1682064888
45,ostrovnoy,68.0531,39.5131,33.69,97,100,12.55,RU,1682064888
46,qaanaaq,77.484,-69.3632,7.43,80,99,7.58,GL,1682064816
47,katsuura,35.1333,140.3,66.97,88,100,5.19,JP,1682064768
48,limon,10.0,-83.0333,75.06,81,99,2.8,CR,1682064889
49,carnarvon,-24.8667,113.6333,80.13,46,98,13.42,AU,1682064831
50,ancud,-41.8697,-73.8203,53.15,91,100,5.66,CL,1682064890
51,victoria,22.2855,114.1577,81.19,82,99,10.0,HK,1682064667
52,tuktoyaktuk,69.4541,-133.0374,16.54,96,100,6.2,CA,1682064814
53,bluff,-46.6,168.3333,52.81,82,0,8.19,NZ,1682064776
54,avarua,-21.2078,-159.775,75.25,83,20,2.3,CK,1682064678
55,berlevag,70.8578,29.0864,33.8,64,75,23.02,NO,1682064891
56,husavik,66.0449,-17.3389,33.76,99,100,13.56,IS,1682064831
57,jati,24.3539,68.2671,99.54,15,41,19.46,PK,1682064891
58,pathein,16.7833,94.7333,96.8,35,0,15.3,MM,1682064892
59,hermanus,-34.4187,19.2345,58.8,55,92,1.36,ZA,1682064778
60,leh,34.1667,77.5833,37.98,35,45,8.88,IN,1682064781
61,cherskiy,68.75,161.3,32.13,98,100,3.62,RU,1682064789
62,sumbe,-11.2061,13.8437,79.11,78,99,3.83,AO,1682064619
63,seddon,-37.8068,144.8916,64.74,72,75,5.75,AU,1682064893
64,srednekolymsk,67.45,153.6833,33.4,92,99,4.97,RU,1682064893
65,ulaanbaatar,47.9077,106.8832,37.53,18,40,17.9,MN,1682064894
66,aswan,24.0934,32.907,85.96,15,0,13.2,EG,1682064823
67,gigmoto,13.7796,124.39,85.23,70,65,5.17,PH,1682064894
68,nanortalik,60.1432,-45.2371,33.94,82,100,5.73,GL,1682064894
69,klaksvik,62.2266,-6.589,49.12,71,6,4.07,FO,1682064895
70,ipixuna,-1.7625,-48.8043,73.35,99,83,2.82,BR,1682064895
71,lebu,-37.6167,-73.65,55.99,95,100,4.29,CL,1682064821
72,atuona,-9.8,-139.0333,81.68,72,78,12.5,PF,1682064790
73,jalu,29.0331,21.5482,79.52,17,73,16.8,LY,1682064896
74,denpasar,-8.65,115.2167,85.71,74,40,18.41,ID,1682064796
75,sitka,57.0531,-135.33,44.49,61,40,0.0,US,1682064806
76,kodiak,57.79,-152.4072,38.71,65,0,5.75,US,1682064784
77,beloha,-25.1667,45.05,87.21,43,0,6.29,MG,1682064897
78,torbay,47.6666,-52.7314,34.57,97,100,21.99,CA,1682064897
79,grindavik,63.8424,-22.4338,44.55,100,75,1.14,IS,1682064898
